city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90004,2599500,3329.0,5.0,4.5
Los Angeles,CA,90004,649000,1357.0,1.0,2.0
Los Angeles,CA,90004,1485000,4624.0,9.0,4.0
Los Angeles,CA,90004,999000,2000.0,0,NA
Los Angeles,CA,90004,597000,1089.0,1.0,2.0
Los Angeles,CA,90004,1649000,3420.0,9.0,5.0
Los Angeles,CA,90004,809000,1775.0,3.0,2.0
Los Angeles,CA,90004,3449000,3872.0,4.0,4.0
Los Angeles,CA,90004,1000000,1584.0,3.0,1.0
Los Angeles,CA,90004,1139000,3203.0,0,NA
Los Angeles,CA,90004,799000,2327.0,4.0,3.0
Los Angeles,CA,90004,1598000,3132.0,6.0,3.0
Los Angeles,CA,90004,1900000,4228.0,8.0,4.0
Los Angeles,CA,90004,1260000,2500.0,0,NA
Los Angeles,CA,90004,1300000,1750.0,3.0,2.0
Los Angeles,CA,90004,1700000,4103.0,11.0,6.0
Los Angeles,CA,90004,998888,2200.0,0,NA
Los Angeles,CA,90004,1500000,1990.0,3.0,2.0
Los Angeles,CA,90004,3200000,3500.0,5.0,4.0
Los Angeles,CA,90004,1009000,1.0,0,NA
Los Angeles,CA,90004,2400000,10049.0,NA,NA
Los Angeles,CA,90004,1750000,3372.0,5.0,4.0
Los Angeles,CA,90004,NA,1350.0,2.0,1.0
Los Angeles,CA,90004,NA,3937.0,6.0,6.0
Los Angeles,CA,90004,NA,925.0,2.0,1.0
Los Angeles,CA,90004,NA,3272.0,5.0,2.0
Los Angeles,CA,90004,NA,1763.0,4.0,1.0
Los Angeles,CA,90004,NA,3107.0,4.0,1.0
Los Angeles,CA,90004,NA,2486.0,3.0,1.0
Los Angeles,CA,90004,NA,2208.0,2.0,1.0
Los Angeles,CA,90004,NA,3454.0,4.0,4.0
Los Angeles,CA,90005,1100000,1780.0,3.0,2.0
Los Angeles,CA,90005,1625000,3257.0,5.0,4.0
Los Angeles,CA,90005,570000,1370.0,2.0,2.0
Los Angeles,CA,90005,599000,1322.0,2.0,2.0
Los Angeles,CA,90005,7295000,5753.0,6.0,7.0
Los Angeles,CA,90005,530000,920.0,2.0,2.0
Los Angeles,CA,90005,7999999,12147.0,8.0,10.0
Los Angeles,CA,90005,552000,1200.0,2.0,2.0
Los Angeles,CA,90005,623000,1586.0,2.0,2.0
Los Angeles,CA,90005,566000,1090.0,2.0,2.0
Los Angeles,CA,90005,1495000,4100.0,6.0,6.0
Los Angeles,CA,90005,1150000,1903.0,2.0,3.0
Los Angeles,CA,90005,545000,942.0,2.0,2.0
Los Angeles,CA,90005,699000,1460.0,3.0,3.0
Los Angeles,CA,90005,1935000,9513.0,NA,NA
Los Angeles,CA,90005,5700000,11216.0,21.0,21.0
Los Angeles,CA,90005,1039900,1410.0,3.0,3.0
Los Angeles,CA,90005,759000,1550.0,3.0,2.0
Los Angeles,CA,90005,1695000,5660.0,8.0,4.0
